,time1,CH1,CH2,CH3,CH23,time_step,time_delay,I_base,I_step
0,4.0,-12.525000000000002,-0.034999999999999,-0.087499999999999,0.052499999999999,2.0,1000.0,1.0,90.0
1,6.000000000000001,-12.7675,0.012499999999999001,-0.052499999999999,0.064999999999999,2.0,1000.0,1.0,90.0
2,8.0,-12.9025,-0.034999999999999,-0.107499999999999,0.07250000000000001,2.0,1000.0,1.0,90.0
3,10.0,-13.265000000000002,0.3975,0.32499999999999896,0.07250000000000001,2.0,1000.0,1.0,90.0
4,12.000000000000002,-12.4475,-0.125,-0.159999999999999,0.034999999999999,2.0,1000.0,1.0,90.0
5,14.0,-12.735000000000001,0.08499999999999899,0.024999999999999,0.06,2.0,1000.0,1.0,90.0
6,16.0,-12.640000000000002,0.034999999999999,-0.024999999999999,0.059999999999999006,2.0,1000.0,1.0,90.0
7,18.0,-12.74,0.042499999999999,-0.0075,0.05,2.0,1000.0,1.0,90.0
8,20.0,-12.8675,0.09,0.022499999999999,0.0675,2.0,1000.0,1.0,90.0
9,22.0,-12.565000000000001,0.03,-0.022499999999999,0.052499999999999,2.0,1000.0,1.0,90.0
10,24.000000000000004,-12.807500000000005,0.015,-0.034999999999999,0.05,2.0,1000.0,1.0,90.0
11,26.0,-12.800000000000002,-0.022499999999999,-0.07,0.0475,2.0,1000.0,1.0,90.0
12,28.000000000000004,-12.74,0.022499999999999,-0.03,0.052499999999999,2.0,1000.0,1.0,90.0
13,30.0,-12.509999999999998,-0.03,-0.0825,0.052499999999999,2.0,1000.0,1.0,90.0
14,32.0,-12.397499999999999,-0.057499999999999,-0.107499999999999,0.05,2.0,1000.0,1.0,90.0
15,34.0,-12.385000000000002,-0.107499999999999,-0.165,0.057499999999999996,2.0,1000.0,1.0,90.0
16,36.0,-12.295,-0.117499999999999,-0.155,0.0375,2.0,1000.0,1.0,90.0
17,38.0,-12.647500000000004,0.057499999999999996,-0.02,0.0775,2.0,1000.0,1.0,90.0
18,40.0,-12.79,0.0175,-0.022499999999999,0.04,2.0,1000.0,1.0,90.0
19,42.0,-13.022499999999999,0.054999999999999,0.0175,0.037499999999999,2.0,1000.0,1.0,90.0
20,44.0,-12.7675,-0.004999999999999,-0.052499999999999,0.0475,2.0,1000.0,1.0,90.0
21,46.00000000000001,-12.5475,-0.0,-0.044999999999999,0.044999999999999,2.0,1000.0,1.0,90.0
22,48.00000000000001,-13.252500000000005,0.169999999999999,0.09749999999999899,0.07250000000000001,2.0,1000.0,1.0,90.0
23,50.0,-13.155,0.252499999999999,0.21499999999999997,0.037499999999999,2.0,1000.0,1.0,90.0
24,52.0,-12.742500000000001,0.042499999999999,0.002499999999999,0.04,2.0,1000.0,1.0,90.0
25,54.0,-12.5475,-0.09,-0.14250000000000002,0.052499999999999,2.0,1000.0,1.0,90.0
26,56.00000000000001,-12.8425,0.054999999999999,-0.012499999999999001,0.067499999999999,2.0,1000.0,1.0,90.0
27,58.00000000000001,-12.400000000000002,-0.117499999999999,-0.18249999999999902,0.064999999999999,2.0,1000.0,1.0,90.0
28,60.0,-12.5975,-0.034999999999999,-0.077499999999999,0.042499999999999,2.0,1000.0,1.0,90.0
29,62.0,-12.695,-0.027499999999999997,-0.08,0.052499999999999,2.0,1000.0,1.0,90.0
30,64.0,-12.77,0.09749999999999899,0.04,0.057499999999999,2.0,1000.0,1.0,90.0
31,66.0,-12.77,0.042499999999999,-0.022499999999999,0.064999999999999,2.0,1000.0,1.0,90.0
32,68.0,-12.2275,-0.014999999999999,-0.064999999999999,0.05,2.0,1000.0,1.0,90.0
33,70.0,-12.450000000000001,0.0075,-0.07,0.0775,2.0,1000.0,1.0,90.0
34,72.0,-12.655000000000003,-0.052499999999999,-0.109999999999999,0.057499999999999,2.0,1000.0,1.0,90.0
35,74.0,-12.682500000000001,0.07,-0.004999999999999,0.074999999999999,2.0,1000.0,1.0,90.0
36,76.0,-12.695,-0.034999999999999,-0.077499999999999,0.042499999999999,2.0,1000.0,1.0,90.0
37,78.0,-12.4025,-0.07,-0.127499999999999,0.057499999999999,2.0,1000.0,1.0,90.0
38,80.0,-12.615,-0.024999999999999,-0.08499999999999899,0.06,2.0,1000.0,1.0,90.0
39,82.00000000000001,-12.517499999999998,0.02,-0.02,0.04,2.0,1000.0,1.0,90.0
40,84.0,-12.612500000000002,-0.0375,-0.09499999999999899,0.057499999999999,2.0,1000.0,1.0,90.0
41,86.0,-12.6375,-0.0175,-0.06,0.042499999999999,2.0,1000.0,1.0,90.0
42,88.0,-12.665,0.064999999999999,0.015,0.049999999999999004,2.0,1000.0,1.0,90.0
43,90.0,-12.5275,-0.064999999999999,-0.1225,0.057499999999999996,2.0,1000.0,1.0,90.0
44,92.0,-11.91,-0.45499999999999996,-0.5225,0.067499999999999,2.0,1000.0,1.0,90.0
45,94.0,-12.72,0.08499999999999899,0.042499999999999,0.042499999999999,2.0,1000.0,1.0,90.0
46,96.0,-12.4925,-0.08,-0.125,0.044999999999999,2.0,1000.0,1.0,90.0
47,98.0,-12.315000000000005,0.08499999999999899,0.0375,0.047499999999999,2.0,1000.0,1.0,90.0
48,100.0,-12.7075,0.054999999999999,0.002499999999999,0.052499999999999,2.0,1000.0,1.0,90.0
