%1K5
%1 mkA
%delta method
%cooling down to 4.9K
%===================Date and Time===================
%11/13/2024 1:57:04 PM
%===============Changing of Bit State===============
%Manual Changing of Bit State
%===============Temperature===============
%Lable: T
%Units: K
%Calibration: x98446
%Step: 0.000000
%Device: Keithley 2002 DMM
%IDN: KEITHLEY INSTRUMENTS INC.,MODEL 2002,4027178,B02  /A02  %Function: 4 - Wire Resistance
%Resolution: 8.5 Digits
%Integration Time: Automatic
%Range [V]: 20000.000000
%Offset Compensation: Off
%Digital Filter: Off%Triger Count: 1.000000
%Trigger Delay0.000000%===============Resistance===============
%Lable: R
%Units: Ohm
%Function: x*1000000
%Device: Keithley 6221 CS
%IDN: KEITHLEY INSTRUMENTS INC.,MODEL 6221,4025812,D02  /700x %Function: Delta
%High Level [A]: 1.000000E-6
%Low Level [A]: -1.000000E-6
%Delay [s]: 0.200000
%Measurement Units: Volt
%Compliance [V]: 10.000000
%Output Low Connection: Floating
%Triax Inner Shield Connection: Output Low
%Output Responce: Fast
%Analog Filter: Off
%Digital Filter: Moving
%Filter Count: 2
%Filter Window [%]: 1.000000
%=======================
%======2812A Parameters======
%=======================
%Range: 1 V
%Digital Filter: Repeat
%Filter Count: 2
%Filter Window [%]: 0.000000
%Analog Filter: On
%NPLC: 1%===============Timer===============
%Lable: t
%Units: s
%Function: x/100000
%Device: Timer
%==========================================
"Temperature (T) [K]", "Resistance (R) [Ohm]", "Timer (t) [s]", "Bit State"
2.924633E+2,1.492724E+3,4.24E-3,0
2.924514E+2,1.492501E+3,1.2725E-2,0
2.924568E+2,1.49282E+3,2.1225E-2,0
2.924418E+2,1.492756E+3,2.971E-2,0
2.924587E+2,1.492749E+3,3.82E-2,0
2.924595E+2,1.492545E+3,4.669E-2,0
2.924441E+2,1.49259E+3,5.518E-2,0
2.924433E+2,1.492616E+3,6.3675E-2,0
2.924595E+2,1.492679E+3,7.2165E-2,0
2.924645E+2,1.4928E+3,8.0665E-2,0
2.924441E+2,1.492667E+3,8.916E-2,0
2.924472E+2,1.492769E+3,9.7655E-2,0
2.924449E+2,1.492393E+3,1.06145E-1,0
2.924452E+2,1.492271E+3,1.1463E-1,0
2.924395E+2,1.492558E+3,1.23125E-1,0
2.924552E+2,1.492526E+3,1.31615E-1,0
2.924633E+2,1.492622E+3,1.4011E-1,0
2.924399E+2,1.492743E+3,1.48595E-1,0
2.924545E+2,1.492603E+3,1.57085E-1,0
2.924387E+2,1.550109E+3,1.65575E-1,0
2.924299E+2,1.4915E+3,1.74065E-1,0
2.924429E+2,1.488537E+3,1.8256E-1,0
2.924402E+2,1.496637E+3,1.91045E-1,0
2.924399E+2,1.468614E+3,1.99545E-1,0
2.924241E+2,1.496522E+3,2.0803E-1,0
2.924314E+2,1.493406E+3,2.1652E-1,0
2.924356E+2,1.4915E+3,2.2501E-1,0
2.924302E+2,1.493043E+3,2.33495E-1,0
2.92441E+2,1.492259E+3,2.4199E-1,0
2.924468E+2,1.492297E+3,2.50485E-1,0
2.924464E+2,1.493559E+3,2.58975E-1,0
2.924487E+2,1.497415E+3,2.67465E-1,0
2.924414E+2,1.488294E+3,2.75955E-1,0
2.92441E+2,1.494011E+3,2.8447E-1,0
2.92431E+2,1.493157E+3,2.9304E-1,0
2.924356E+2,1.491921E+3,3.01655E-1,0
2.924368E+2,1.492979E+3,3.1025E-1,0
2.924429E+2,1.49289E+3,3.18835E-1,0
2.924391E+2,1.492361E+3,3.2743E-1,0
2.924314E+2,1.492622E+3,3.3602E-1,0
2.924441E+2,1.492335E+3,3.4463E-1,0
2.924291E+2,1.490621E+3,3.5324E-1,0
2.924406E+2,1.49368E+3,3.61845E-1,0
2.924502E+2,1.492182E+3,3.7045E-1,0
2.924195E+2,1.492437E+3,3.7905E-1,0
2.924137E+2,1.492679E+3,3.8765E-1,0
2.924237E+2,1.49252E+3,3.9623E-1,0
2.924133E+2,1.492533E+3,4.0483E-1,0
2.923948E+2,1.492883E+3,4.1343E-1,0
2.923668E+2,1.4928E+3,4.22025E-1,0
2.923375E+2,1.492584E+3,4.3062E-1,0
2.922887E+2,1.492724E+3,4.39215E-1,0
2.922468E+2,1.492635E+3,4.47825E-1,0
2.922107E+2,1.492635E+3,4.5643E-1,0
2.92142E+2,1.492769E+3,4.65035E-1,0
2.920659E+2,1.492807E+3,4.73645E-1,0
2.919949E+2,1.492807E+3,4.8224E-1,0
