%1K5
%1 mkA
%delta method
%warm up from 4.9 to 260K
%===================Date and Time===================
%11/13/2024 3:53:41 PM
%===============Changing of Bit State===============
%Manual Changing of Bit State
%===============Temperature===============
%Lable: T
%Units: K
%Calibration: x98446
%Step: 0.000000
%Device: Keithley 2002 DMM
%IDN: KEITHLEY INSTRUMENTS INC.,MODEL 2002,4027178,B02  /A02  %Function: 4 - Wire Resistance
%Resolution: 8.5 Digits
%Integration Time: Automatic
%Range [V]: 2000000.000000
%Offset Compensation: Off
%Digital Filter: Off%Triger Count: 1.000000
%Trigger Delay0.000000%===============Resistance===============
%Lable: R
%Units: Ohm
%Function: x*1000000
%Device: Keithley 6221 CS
%IDN: KEITHLEY INSTRUMENTS INC.,MODEL 6221,4025812,D02  /700x %Function: Delta
%High Level [A]: 1.000000E-6
%Low Level [A]: -1.000000E-6
%Delay [s]: 0.200000
%Measurement Units: Volt
%Compliance [V]: 10.000000
%Output Low Connection: Floating
%Triax Inner Shield Connection: Output Low
%Output Responce: Fast
%Analog Filter: Off
%Digital Filter: Moving
%Filter Count: 2
%Filter Window [%]: 1.000000
%=======================
%======2812A Parameters======
%=======================
%Range: 100 mV
%Digital Filter: Repeat
%Filter Count: 2
%Filter Window [%]: 0.000000
%Analog Filter: On
%NPLC: 1%===============Timer===============
%Lable: t
%Units: s
%Function: x/100000
%Device: Timer
%==========================================
"Temperature (T) [K]", "Resistance (R) [Ohm]", "Timer (t) [s]", "Bit State"
4.893519E+0,3.871365E+3,4.26E-3,0
4.894423E+0,3.870337E+3,1.2775E-2,0
4.893519E+0,3.870235E+3,2.127E-2,0
4.893483E+0,3.870898E+3,2.977E-2,0
4.893321E+0,3.870439E+3,3.8265E-2,0
4.892381E+0,3.869615E+3,4.676E-2,0
4.887403E+0,3.871592E+3,5.526E-2,0
4.890504E+0,3.86774E+3,6.376E-2,0
4.893086E+0,3.870625E+3,7.226E-2,0
4.88816E+0,3.865016E+3,8.0755E-2,0
4.892381E+0,3.877394E+3,8.925E-2,0
4.894224E+0,3.870256E+3,9.775E-2,0
4.892941E+0,3.866137E+3,1.0625E-1,0
4.89258E+0,3.868039E+3,1.1475E-1,0
4.893682E+0,3.868229E+3,1.23245E-1,0
4.893357E+0,3.871462E+3,1.3174E-1,0
4.893321E+0,3.869799E+3,1.4024E-1,0
4.893086E+0,3.869992E+3,1.48735E-1,0
4.894459E+0,3.869093E+3,1.5723E-1,0
4.881091E+0,3.865125E+3,1.65725E-1,0
4.893592E+0,3.850083E+3,1.7423E-1,0
4.893556E+0,3.871412E+3,1.8273E-1,0
4.894315E+0,3.870831E+3,1.91225E-1,0
4.893447E+0,3.867771E+3,1.9972E-1,0
4.892472E+0,3.870016E+3,2.08215E-1,0
4.894423E+0,3.871894E+3,2.16715E-1,0
4.893845E+0,3.870985E+3,2.2522E-1,0
4.894622E+0,3.864558E+3,2.33715E-1,0
4.894152E+0,3.87024E+3,2.4221E-1,0
4.894315E+0,3.870586E+3,2.50705E-1,0
4.892815E+0,3.870998E+3,2.59205E-1,0
4.895924E+0,3.871561E+3,2.6771E-1,0
4.893953E+0,3.871182E+3,2.76205E-1,0
4.893483E+0,3.870541E+3,2.847E-1,0
4.893321E+0,3.870468E+3,2.932E-1,0
4.894694E+0,3.880529E+3,3.017E-1,0
4.892815E+0,3.86804E+3,3.102E-1,0
4.890811E+0,3.868434E+3,3.18695E-1,0
4.893989E+0,3.87134E+3,3.2719E-1,0
4.893556E+0,3.87008E+3,3.3569E-1,0
4.893321E+0,3.869882E+3,3.4419E-1,0
4.892183E+0,3.871379E+3,3.5269E-1,0
4.893646E+0,3.869863E+3,3.61185E-1,0
4.892381E+0,3.87256E+3,3.6968E-1,0
4.896938E+0,3.86342E+3,3.7818E-1,0
4.894116E+0,3.871681E+3,3.86675E-1,0
4.895526E+0,3.869992E+3,3.9518E-1,0
4.894929E+0,3.870867E+3,4.03675E-1,0
4.894966E+0,3.870573E+3,4.1217E-1,0
4.89426E+0,3.870107E+3,4.2067E-1,0
4.894387E+0,3.869683E+3,4.29165E-1,0
4.893881E+0,3.868794E+3,4.37665E-1,0
4.895164E+0,3.869285E+3,4.46165E-1,0
4.894586E+0,3.870435E+3,4.5466E-1,0
4.894785E+0,3.870483E+3,4.6316E-1,0
4.894188E+0,3.871232E+3,4.71655E-1,0
4.892454E+0,3.869935E+3,4.8015E-1,0
4.895689E+0,3.869356E+3,4.88655E-1,0
4.896033E+0,3.870111E+3,4.9715E-1,0
4.896576E+0,3.869685E+3,5.0565E-1,0
4.897137E+0,3.869456E+3,5.14145E-1,0
4.897137E+0,3.869426E+3,5.22645E-1,0
4.898151E+0,3.870514E+3,5.3114E-1,0
4.897607E+0,3.869597E+3,5.3964E-1,0
4.897137E+0,3.86948E+3,5.4814E-1,0
4.896232E+0,3.868829E+3,5.56635E-1,0
4.8973E+0,3.869031E+3,5.6513E-1,0
4.898549E+0,3.869486E+3,5.7363E-1,0
4.89922E+0,3.869944E+3,5.8213E-1,0
4.899492E+0,3.869724E+3,5.9063E-1,0
4.89902E+0,3.869209E+3,5.99125E-1,0
4.899492E+0,3.869117E+3,6.0762E-1,0
4.898984E+0,3.868328E+3,6.1612E-1,0
4.900162E+0,3.869891E+3,6.2462E-1,0
4.899655E+0,3.86945E+3,6.3312E-1,0
4.899655E+0,3.868466E+3,6.41615E-1,0
4.89989E+0,3.867846E+3,6.5011E-1,0
4.900325E+0,3.867667E+3,6.5861E-1,0
4.90087E+0,3.868216E+3,6.67105E-1,0
4.901105E+0,3.867974E+3,6.756E-1,0
4.901105E+0,3.867364E+3,6.84105E-1,0
4.901813E+0,3.866522E+3,6.926E-1,0
4.903156E+0,3.867397E+3,7.011E-1,0
4.902612E+0,3.86746E+3,7.09595E-1,0
4.904264E+0,3.867563E+3,7.1809E-1,0
4.90461E+0,3.866983E+3,7.26585E-1,0
4.903992E+0,3.866055E+3,7.3509E-1,0
4.905718E+0,3.866354E+3,7.4359E-1,0
4.906755E+0,3.86665E+3,7.52085E-1,0
4.908011E+0,3.866982E+3,7.60585E-1,0
4.907137E+0,3.866051E+3,7.69075E-1,0
4.906828E+0,3.865813E+3,7.7757E-1,0
4.908011E+0,3.8653E+3,7.8608E-1,0
4.908247E+0,3.865568E+3,7.94575E-1,0
4.908047E+0,3.865692E+3,8.0307E-1,0
4.907901E+0,3.86622E+3,8.11565E-1,0
4.907938E+0,3.865279E+3,8.2006E-1,0
4.907701E+0,3.864631E+3,8.2856E-1,0
4.909285E+0,3.864694E+3,8.37055E-1,0
4.909431E+0,3.864525E+3,8.4555E-1,0
4.910105E+0,3.867192E+3,8.5405E-1,0
4.91047E+0,3.865105E+3,8.6255E-1,0
4.912403E+0,3.865314E+3,8.7105E-1,0
4.909559E+0,3.869837E+3,8.79545E-1,0
4.911892E+0,3.862441E+3,8.8804E-1,0
4.912202E+0,3.864659E+3,8.96535E-1,0
4.912768E+0,3.863797E+3,9.05035E-1,0
4.912202E+0,3.863791E+3,9.1354E-1,0
