[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,40031144.98,04/08/2024,6:48 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E4,MOTOR_HW_VERSION
INFO,MMC433,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,354,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,339,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-200 D0,OVEN_HW_VERSION
INFO,OVN180,OVEN_SERIAL_NUMBER
INFO,01.01.00,OVEN_SOFTWARE_VERSION
INFO,LB602,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Ni5e11 out-of-plane,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
sample offset = 35 mm,40031163.71,29.9946575,0.148519910871983,0.553103838151518,8.43467703824278E-5,1,0.999253354069792,40.0298881530762,2.00207848508307,11.5799997001886,2.8049093207243,0.634031934320852,25,0.00876874865003947,0.520896112347099,0.024847352826756,29.9946575,29.9946575,0.140703067183495,0.156336754560471,48.1170516438512,18.4190129360542,7.799073,0,0,0,40,4929,30.059,0.148519910871983,,,,,,,,,,,,,0,,,,1.068772,,,,,,29.9946575,,,,
,40031183.165,29.9928951,63.2899284362793,0.534905543384847,0.00138501118331939,1,0.999253354069792,40.0298881530762,2.00213247351201,11.5799997001886,2.712883185842,0.612350874652785,25,0.0083130632303124,0.50376511063892,0.0238745079342397,29.9928951,29.9928951,57.2766036987305,69.3032531738281,48.7728379714859,18.4255729940004,7.799073,0,0,0,40,4961,30.0541,63.2899284362793,,,,,,,,,,,,,0,,,,1.07955625,,,,,,29.9928951,,,,
,40031185.85,29.9928226,244.618835449219,0.41914622521606,0.00182217531737543,1,0.999253354069792,40.0298881530762,2.00212635629518,11.5799997001886,2.12587238136101,0.479777268003702,25,0.00648809818408141,0.39475979850455,0.0186954488477976,29.9928226,29.9928226,230.673889160156,258.563781738281,48.9291636753321,18.4194664134263,7.059639,0,0,0,40,4961,30.05445,244.618835449219,,,,,,,,,,,,,0,,,,1.095814,,,,,,29.9928226,,,,
,40031188.51,29.9931078,429.364837646484,0.302043758434416,0.00172819042584977,1,0.999253354069792,40.0298881530762,2.00207706320812,11.5799997001886,1.5321112300417,0.345069213300551,25,0.00453261417483665,0.284487070066721,0.0133481618191038,29.9929867,29.9932289,412.006286621094,446.723388671875,48.9276004182936,18.4220972921852,7.059639,0,0,0,40,4961,30.0552,429.364837646484,,,,,,,,,,,,,0,,,,1.07955625,,,,,,29.9931078,,,,
,40031191.145,29.99317455,610.813507080078,0.227788481797314,0.00165669626342974,1,0.999253354069792,40.0298881530762,2.00215482844286,11.5900002419949,1.15556459899203,0.260192182455512,25,0.0033969168207373,0.214558433299631,0.0100548038230092,29.9930897,29.9932594,600.322448730469,621.304565429688,48.6305815809859,18.4254965049188,7.799073,0,0,0,40,4961,30.05515,610.813507080078,,,,,,,,,,,,,0,,,,1.08502975,,,,,,29.99317455,,,,
,40031193.555,29.9936371,781.864562988281,0.156005315253757,0.00160105436757457,1,0.999253354069792,40.0298881530762,2.00232327415989,11.5799997001886,0.791609329023531,0.177762000467803,25,0.00223052677339698,0.146954171308437,0.00680161468004367,29.9936371,29.9936371,767.948303222656,795.780822753906,48.668099749909,18.4263338278308,7.799073,0,0,0,40,4961,30.056,781.864562988281,,,,,,,,,,,,,0,,,,1.07955625,,,,,,29.9936371,,,,
,40031196.15,29.9941349,963.213745117187,0.0530243192243169,0.00152274542317735,1,0.999253354069792,40.0298881530762,2.00234167098331,11.5799997001886,0.26921039182194,0.0597763114169066,25,0.000628958400019715,0.0499543784423099,0.00219219034317523,29.9941349,29.9941349,956.259094238281,970.168395996094,48.5242801023705,18.4262303532434,7.799073,0,0,0,40,4961,30.05595,963.213745117187,,,,,,,,,,,,,0,,,,1.068772,,,,,,29.9941349,,,,
,40031201.5,29.9942932,1336.36187744141,-0.105625067351808,0.00137545180491427,1,0.999253354069792,40.0298881530762,2.00209926379487,11.5799997001886,-0.535637107860227,-0.122109394475085,2.5,-0.00183965388651615,-0.0995030040871116,-0.00492916066678775,29.9942932,29.9942932,1318.87182617188,1353.85192871094,49.0307753828321,18.4202262293739,7.059639,0,0,0,40,4961,30.0562,1336.36187744141,,,,,,,,,,,,,0,,,,1.068772,,,,,,29.9942932,,,,
,40031203.96,29.9942913,1507.19519042969,-0.192759202997853,0.00128112036889404,1,0.999253354069792,40.0298881530762,2.0019520240143,11.5799997001886,-0.977673474092669,-0.221947081385279,2.5,-0.00317428947482473,-0.181601808013566,-0.00883089188719252,29.9942913,29.9942913,1500.26281738281,1514.12756347656,49.148801289236,18.4195907564394,7.059639,0,0,0,40,4961,30.0552,1507.19519042969,,,,,,,,,,,,,0,,,,1.068772,,,,,,29.9942913,,,,
,40031206.62,29.9936752,1691.90270996094,-0.247291466590781,0.00121469262215129,1,0.999253354069792,40.0298881530762,2.00229465020135,11.5799997001886,-1.25459449494073,-0.284564742125138,2.5,-0.00401455448127941,-0.23299290881071,-0.0112860725571784,29.9936752,29.9936752,1688.35461425781,1695.45080566406,48.8791394501013,18.4200755678937,7.799073,0,0,0,40,4961,30.05475,1691.90270996094,,,,,,,,,,,,,0,,,,1.068772,,,,,,29.9936752,,,,
