[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,NI5E11 OUT-OF-PLANE 5K 8T.DAT
FILEOPENTIME,40189118.86,04/10/2024,2:41 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E4,MOTOR_HW_VERSION
INFO,MMC433,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.01.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,354,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,339,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-200 D0,OVEN_HW_VERSION
INFO,OVN180,OVEN_SERIAL_NUMBER
INFO,01.01.00,OVEN_SOFTWARE_VERSION
INFO,LB602,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Ni5e11 out-of-plane,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
sample offset = 35 mm touchdown = 5.59000018984079 mm,40189138.22,5.0081258,0.0156336762011051,-0.000100118486551448,1.05994971641322E-6,1,0.999253354069792,40.0298881530762,1.98864420142742,11.6200000047684,-0.000501234575244672,-0.000119013111609364,0.25,-3.06946361112016E-6,-9.38593728595174E-5,-5.49520076040468E-6,5.0081258,5.0081258,0.0156336762011051,0.0156336762011051,49.3887612446398,18.3871396827099,8.168791,0,0,0,40,4881,5.005,0.0156336762011051,,,,,,,,,,,,,0,,,,0.6550834,,,,,,5.0081258,,,,
,40189165.56,5.0030432,46.2942199707031,-0.0156579963825532,0.00143600874272544,1,0.999253354069792,40.0298881530762,1.98891282232195,11.6200000047684,-0.0784460180146146,-0.0183972693300236,0.25,-0.000436623134896876,-0.0146803223621729,-0.00081877345499355,5.0030432,5.0030432,35.2642822265625,57.3241577148438,48.5383494157167,18.3908878433445,8.168791,0,0,0,40,4961,5.0045,46.2942199707031,,,,,,,,,,,,,0,,,,0.6485717,,,,,,5.0030432,,,,
,40189167.615,5.0042715,178.614799499512,,,1,0.999253354069792,40.0298881530762,1.98881659645088,11.6200000047684,-0.286821700796759,-0.0642505212160933,0.25,,,,5.0041227,5.0044203,168.232604980469,188.996994018555,48.7173423466205,18.3987892271701,8.168791,1,0,,40,4961,5.00375,178.614799499512,,,,,,,,,,,,,0,,,,0.6683034,,,,,,5.0042715,,,,
,40189172.28,4.9999638,506.107055664063,-0.291611103706064,0.001731979837454,1,0.999253354069792,40.0298881530762,1.9888549555831,11.6100003942847,-1.46354997526402,-0.32912934075476,2.5,-0.0054299914879619,-0.273499924656643,-0.0127438396484066,4.9999638,4.9999638,495.580932617188,516.633178710937,48.1834900679859,18.3962030732495,7.429356,0,0,0,40,4961,4.9973,506.107055664063,,,,,,,,,,,,,0,,,,0.65511605,,,,,,4.9999638,,,,
,40189177.53,5.0026827,868.965118408203,-0.473963919465105,0.00159509733767816,1,0.999253354069792,40.0298881530762,1.98904066346222,11.6200000047684,-2.37924157336999,-0.534695226275448,25,-0.00870944229787379,-0.444571715066515,-0.0206510544968709,5.0026827,5.0026827,851.48583984375,886.444396972656,48.5547636146205,18.3941814903379,8.168791,0,0,0,40,4961,5.00155,868.965118408203,,,,,,,,,,,,,0,,,,0.6649819,,,,,,5.0026827,,,,
,40189179.745,5.0006227,1025.92877197266,-0.542798151089756,0.0015261414068291,1,0.999253354069792,40.0298881530762,1.98909375639683,11.6100003942847,-2.72497569919698,-0.612379568283234,25,-0.00994640131682018,-0.509159956370404,-0.0236488396120417,5.0006227,5.0006227,1018.81286621094,1033.04467773438,49.494281094736,18.3928279564342,7.429356,0,0,0,40,4961,5.0009,1025.92877197266,,,,,,,,,,,,,0,,,,0.6683034,,,,,,5.0006227,,,,
,40189181.96,5.00301885,1179.29919433594,-0.609457976655386,0.001511377878415,1,0.999253354069792,40.0298881530762,1.98910161136913,11.6200000047684,-3.05981951319309,-0.687389770488582,25,-0.0110940387925579,-0.571715534462846,-0.0265117912412565,5.0022893,5.0037484,1172.40942382812,1186.18896484375,48.2655610625051,18.3937695678172,7.429356,0,0,0,40,4961,5.00375,1179.29919433594,,,,,,,,,,,,,0,,,,0.6616604,,,,,,5.00301885,,,,
,40189184.18,5.00403355,1336.27410888672,-0.673670262377216,0.00145244564532078,1,0.999253354069792,40.0298881530762,1.98884293171754,11.6100003942847,-3.38190125618057,-0.759897536963762,25,-0.0122586108666165,-0.631980285989207,-0.0293335005937627,5.0036225,5.0044446,1325.79467773438,1346.75354003906,49.4317508131975,18.396946210316,8.168791,0,0,0,40,4961,5.00585,1336.27410888672,,,,,,,,,,,,,0,,,,0.6485717,,,,,,5.00403355,,,,
,40189186.335,5.0072141,1482.65637207031,-0.735648755720387,0.00139009026545541,1,0.999253354069792,40.0298881530762,1.98906955328779,11.6100003942847,-3.69376558935219,-0.829216542064637,25,-0.0132087153798189,-0.690158086701703,-0.0318991714749122,5.0072141,5.0072141,1472.23803710938,1493.07470703125,47.6465112752743,18.3959547857728,8.168791,0,0,0,40,4961,5.00945,1482.65637207031,,,,,,,,,,,,,0,,,,0.65843755,,,,,,5.0072141,,,,
,40189188.525,5.0097742,1636.09094238281,-0.824104383575182,0.00131286035492124,1,0.999253354069792,40.0298881530762,1.98896200645286,11.6100003942847,-4.13788170904331,-0.928964303689472,25,-0.01476486283609,-0.773180842508477,-0.0357450052668549,5.0097742,5.0097742,1618.61999511719,1653.56188964844,48.810356140409,18.3920145111172,7.429356,0,0,0,40,4961,5.0085,1636.09094238281,,,,,,,,,,,,,0,,,,0.65843755,,,,,,5.0097742,,,,
